SEASON,LEAGUE_MIN_MEAN,LEAGUE_PTS_MEAN,LEAGUE_REB_MEAN,LEAGUE_AST_MEAN,LEAGUE_FG_PCT_MEAN,LEAGUE_FG3_PCT_MEAN,LEAGUE_FT_PCT_MEAN,LEAGUE_TS_PCT_MEAN,LEAGUE_USG_PCT_MEAN,LEAGUE_PACE_MEAN
2009-10,21.21395193591455,8.935781041388518,3.7716955941255006,1.6424566088117487,0.4542860518904291,0.2413696650250956,0.719041927718426,0.5279244803876835,0.18716555407209615,98.01423230974633
2010-11,20.98505002942908,8.714067098293112,3.6814008240141263,1.6553266627427896,0.4513805169744429,0.2372380432831467,0.72103147508246,0.5246623847241232,0.18800824014125958,97.79958799293702
2011-12,21.274207746478872,8.631602112676056,3.7349471830985914,1.8433098591549295,0.44427889934829834,0.2552867652839558,0.720288966587359,0.5150475887038378,0.18654841549295773,95.85683978873239
2012-13,20.296832884097036,8.266981132075472,3.669272237196765,1.6818733153638814,0.43740659351604383,0.2510911571853057,0.7120089473946315,0.5105622947826232,0.18772708894878706,97.88905660377358
2013-14,20.37532051282051,8.560384615384615,3.693525641025641,1.709871794871795,0.43920699375501404,0.2523989617907536,0.7146767991694326,0.5181197590096113,0.1872448717948718,99.42727564102563
2014-15,20.26894673123487,8.589225181598064,3.6690072639225186,1.6955205811138014,0.4434801981691874,0.2664077731872428,0.7163051788236188,0.5221828020737426,0.18582445520581115,99.54573244552057
2015-16,20.221335697399528,8.545744680851062,3.7069148936170215,1.6693262411347518,0.43815529380818075,0.2666827690014468,0.7137635330050125,0.519354142249631,0.18751004728132387,99.64971631205674
2016-17,20.054922566371683,8.682356194690264,3.716648230088496,1.692920353982301,0.4428213589341217,0.28397872270010727,0.7184492475033991,0.5276006183241265,0.18628429203539823,100.27457411504425
2017-18,20.49833001988072,9.148707753479126,3.7864811133200793,1.8271570576540752,0.4440359065278071,0.2962476272130009,0.7265103572419224,0.5288119712996063,0.18849423459244533,101.84003180914513
2018-19,20.32526356891839,9.340648184303006,3.9642327215931283,1.9110894181960172,0.44510872572186044,0.29750384223771925,0.7173863273970761,0.5266238410850479,0.1890085903943772,104.0937172979305
2019-20,20.136256028057872,9.199254712845244,3.8018412976764577,1.999736957474792,0.45658164019663094,0.3116913313003106,0.7174961006401478,0.5537418856071799,0.18494782989916703,104.5585094256905
2020-21,20.385609532538954,9.218423464711273,3.8504124656278647,2.0098991750687443,0.45521756509462385,0.310083009977204,0.7475326226242881,0.5566776225568442,0.18389092575618698,102.28943171402382
2021-22,20.161033950617284,9.123456790123457,3.8543209876543214,2.028472222222222,0.45364556024601305,0.3054564846318416,0.7007064224396926,0.5449066065284534,0.18297993827160494,103.20251157407408
2022-23,20.674792243767314,9.569759926131116,3.8638042474607572,2.0754847645429364,0.4609348571734819,0.31494579916751525,0.7221695450810154,0.563052905657681,0.18526361957525392,102.95664819944598
2023-24,20.327627494456763,9.433569844789357,3.7892239467849227,2.1841685144124168,0.4557687199490387,0.31392888993603674,0.7178248187125318,0.555659434801958,0.1844541019955654,103.46989800443458
2024-25,20.48885690789474,9.538240131578947,3.916981907894737,2.106003289473684,0.45354684931836736,0.31396805668999317,0.7173445470399707,0.5567766256128471,0.1846517269736842,102.62812088815788
2025-26,18.462893081761006,8.036477987421383,3.400786163522012,1.755817610062893,0.4307386564927102,0.28370551165008856,0.6881445871372122,0.5325340220057229,0.1790487421383648,105.5754245283019
